data_celltemp,data_cellpres,data_co2,data_co2abs,data_h2o,data_h2oabs,data_h2odewpoint,data_ivolt,data_raw_co2_co2ref,data_raw_co2_h2o_h2oref,data_raw_co2_h2o,data_datetimer,data
"5.14112e1","1.00192e2","4.79883e2","9.7051382e-2","2.52003e1","1.3448274e-1","2.11878e1","1.3488159e1","3798629","1925895","","2016-09-30T16:04:26.339642",""
"5.14112e1","1.00192e2","4.79880e2","9.7051019e-2","2.52002e1","1.3448250e-1","2.11878e1","1.3494873e1","3798610","1925888","","2016-09-30T16:04:32.313102",""
"5.14112e1","1.00214e2","4.79722e2","9.7049474e-2","2.51928e1","1.3448286e-1","2.11865e1","1.3494873e1","3799079","1925938","","2016-09-30T16:04:38.288724",""
"5.14112e1","1.00237e2","4.79553e2","9.7046489e-2","2.51854e1","1.3448345e-1","2.11854e1","1.3494873e1","3798505","1925885","","2016-09-30T16:04:44.275964",""
"5.14112e1","1.00214e2","4.79729e2","9.7050428e-2","2.51927e1","1.3448274e-1","2.11865e1","1.3501586e1","3798905","1925946","","2016-09-30T16:04:50.253130",""
"5.14112e1","1.00214e2","4.79750e2","9.7053527e-2","2.51925e1","1.3448190e-1","2.11864e1","1.3508300e1","3798873","1925814","","2016-09-30T16:04:56.232271",""
"5.14112e1","1.00237e2","4.79597e2","9.7052688e-2","2.51846e1","1.3448083e-1","2.11849e1","1.3515014e1","3798591","1925853","","2016-09-30T16:05:02.219373",""
"5.14112e1","1.00214e2","4.79752e2","9.7053766e-2","2.51916e1","1.3447880e-1","2.11858e1","1.3515014e1","3798758","1925883","","2016-09-30T16:05:08.198174",""
"5.14112e1","1.00214e2","4.81051e2","9.7238416e-2","2.51899e1","1.3447284e-1","2.11847e1","1.3474731e1","3798968","1925908","","2016-09-30T16:05:20.155033",""
"5.14112e1","1.00214e2","4.81030e2","9.7235555e-2","2.51899e1","1.3447296e-1","2.11847e1","1.3488159e1","3798225","1925807","","2016-09-30T16:05:26.132180",""
"5.14112e1","1.00214e2","4.81014e2","9.7233171e-2","2.51899e1","1.3447272e-1","2.11847e1","1.3494873e1","3798912","1925961","","2016-09-30T16:05:32.111249",""
"5.14112e1","1.00214e2","4.81018e2","9.7233772e-2","2.51897e1","1.3447225e-1","2.11846e1","1.3494873e1","3798712","1925922","","2016-09-30T16:15:38.181299",""
